"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01 00:00","2023","01","01","00:00","3.0","","3.0","","100","","","","28","","11","","0.4","","99.11","","","","","","Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01 01:00","2023","01","01","01:00","3.0","","3.0","","100","","","","26","","10","","0.4","","99.16","","","","","","Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01 02:00","2023","01","01","02:00","3.0","","3.0","","100","","","","30","","21","","6.4","","99.22","","","","","","Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01 03:00","2023","01","01","03:00","2.6","","2.6","","100","","","","28","","24","","8.1","","99.27","","","","","","Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01 04:00","2023","01","01","04:00","2.4","","2.4","","100","","","","28","","23","","11.3","","99.33","","","","","","Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01 05:00","2023","01","01","05:00","2.1","","2.1","","100","","","","28","","24","","11.3","","99.39","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01 06:00","2023","01","01","06:00","2.0","","2.0","","100","","","","28","","18","","11.3","","99.49","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01 07:00","2023","01","01","07:00","2.0","","1.9","","99","","","","28","","20","","11.3","","99.60","","","","","","Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01 08:00","2023","01","01","08:00","1.9","","1.7","","99","","","","28","","21","","8.1","","99.70","","","","","","Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01 09:00","2023","01","01","09:00","1.6","","1.2","","98","","","","26","","18","","16.1","","99.78","","","","","","Rain"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01 10:00","2023","01","01","10:00","1.8","","1.4","","97","","","","29","","17","","12.9","","99.84","","","","","","Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01 11:00","2023","01","01","11:00","2.0","","1.4","","96","","","","30","","15","","24.1","","99.85","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01 12:00","2023","01","01","12:00","2.4","","1.2","","92","","","","29","","20","","24.1","","99.82","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01 13:00","2023","01","01","13:00","2.5","","0.8","","89","","","","26","","17","","24.1","","99.83","","","","","","Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01 14:00","2023","01","01","14:00","2.3","","0.7","","89","","","","26","","14","","24.1","","99.85","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01 15:00","2023","01","01","15:00","1.7","","0.0","","89","","","","29","","12","","24.1","","99.87","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01 16:00","2023","01","01","16:00","1.9","","-0.8","","82","","","","28","","12","","24.1","","99.95","","","","","","Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01 17:00","2023","01","01","17:00","1.2","","-0.7","","87","","","","27","","8","","24.1","","100.01","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01 18:00","2023","01","01","18:00","1.1","","-0.8","","87","","","","29","","8","","24.1","","100.01","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01 19:00","2023","01","01","19:00","0.7","","-0.8","","90","","","","22","","5","","24.1","","100.08","","","","","","Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01 20:00","2023","01","01","20:00","0.5","","-0.6","","92","","","","22","","7","","24.1","","100.13","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01 21:00","2023","01","01","21:00","0.6","","-0.5","","92","","","","21","","7","","24.1","","100.13","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01 22:00","2023","01","01","22:00","0.6","","-0.3","","93","","","","21","","5","","24.1","","100.12","","","","","","Cloudy"
