Month,Day,Time (LST),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Hmdx,Wind Chill,Weather,Meter Reading (KWHr),Rain,Cloudy,Fog,Drizzle,Clear,Freezing Drizzle,Ice Pellet Showers,Haze,Snow Pellets,Moderate Rain,Moderate Snow,Heavy Rain Showers,Snow Showers,Mainly Clear,Freezing Fog,Freezing Rain,Heavy Snow,Rain Showers,Mostly Cloudy,Blowing Snow,Ice Pellets,Snow,Thunderstorms,Snow Grains,Smoke,Moderate Rain Showers
1,1,hour_0,3.0,3.0,100.0,28.0,11.0,0.4,99.11,28.0,-6.0,Fog,350.991,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,hour_1,3.0,3.0,100.0,26.0,10.0,0.4,99.16,28.0,-6.0,Fog,352.707,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,hour_2,3.0,3.0,100.0,30.0,21.0,6.4,99.22,28.0,-6.0,Fog,349.177,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,hour_3,2.6,2.6,100.0,28.0,24.0,8.1,99.27,28.0,-6.0,Fog,349.923,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,hour_4,2.4,2.4,100.0,28.0,23.0,11.3,99.33,28.0,-6.0,Cloudy,351.596,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,hour_5,2.1,2.1,100.0,28.0,24.0,11.3,99.39,28.0,-6.0,Mostly Cloudy,355.213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,hour_6,2.0,2.0,100.0,28.0,18.0,11.3,99.49,28.0,-6.0,Mostly Cloudy,365.879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,hour_7,2.0,1.9,99.0,28.0,20.0,11.3,99.6,28.0,-6.0,Cloudy,381.929,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,hour_8,1.9,1.7,99.0,28.0,21.0,8.1,99.7,28.0,-6.0,Fog,390.21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,hour_9,1.6,1.2,98.0,26.0,18.0,16.1,99.78,28.0,-6.0,Rain,391.748,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,hour_10,1.8,1.4,97.0,29.0,17.0,12.9,99.84,28.0,-6.0,Cloudy,383.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,hour_11,2.0,1.4,96.0,30.0,15.0,24.1,99.85,28.0,-6.0,Mostly Cloudy,381.706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,hour_12,2.4,1.2,92.0,29.0,20.0,24.1,99.82,28.0,-6.0,Mostly Cloudy,383.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,hour_13,2.5,0.8,89.0,26.0,17.0,24.1,99.83,28.0,-6.0,Cloudy,379.911,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,hour_14,2.3,0.7,89.0,26.0,14.0,24.1,99.85,28.0,-6.0,Mostly Cloudy,378.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,hour_15,1.7,0.0,89.0,29.0,12.0,24.1,99.87,28.0,-6.0,Mostly Cloudy,385.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,hour_16,1.9,-0.8,82.0,28.0,12.0,24.1,99.95,28.0,-6.0,Cloudy,390.244,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,hour_17,1.2,-0.7,87.0,27.0,8.0,24.1,100.01,28.0,-6.0,Mostly Cloudy,397.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
